,primary_photo,source,tags,list_date,price_reduced_amount,matterport,state,city,year_built,baths_3qtr,sold_price,baths_full,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,brand_name
6538,{'href': 'https://ap.rdcpix.com/6b6cc1892a923857280c1c4ebce9d988l-m2345014453s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","forced_air, basement, two_or_more_stories, garage_1_or_more, marina, medicalcare, shopping",2023-11-03T19:07:32.000000Z,,False,Rhode Island,Providence,1930.0,0.0,345000.0,2.0,0.0,3202.0,1542.0,2.0,other,0,1.0,2.0,4.0,single_family,basic_opt_in
6539,{'href': 'https://ap.rdcpix.com/19479acd71b59483711bad459421a9e7l-m2850853107s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","fireplace, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, garage_3_or_more, clubhouse, shopping",2023-11-19T06:31:24.000000Z,,False,Rhode Island,Providence,1925.0,0.0,475000.0,3.0,0.0,4356.0,2508.0,3.0,other,0,4.0,2.0,6.0,multi_family,essentials
6540,{'href': 'https://ap.rdcpix.com/73657a807447695d2c5d8f32330f81f8l-m4271778703s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': 'REALPRO by The Water'}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","basement, two_or_more_stories, granite_kitchen, fenced_yard, rental_property, new_roof, golf_course",2023-11-16T02:03:11.000000Z,,False,Rhode Island,Providence,1975.0,0.0,475000.0,2.0,2.0,4356.0,1992.0,4.0,other,0,0.0,2.0,4.0,multi_family,basic_opt_in
6541,{'href': 'https://ap.rdcpix.com/fe8550e6638843dec5fc07460e731667l-m1137279038s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': 'Residential Properties Ltd.'}, {'office_name': 'Residential Properties Ltd.'}], 'spec_id': None, 'type': 'mls'}","community_security_features, corner_lot, fireplace, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, high_ceiling, library, big_lot, ensuite",2023-10-31T21:53:31.000000Z,,False,Rhode Island,Providence,1932.0,0.0,2800000.0,5.0,2.0,14893.0,6225.0,7.0,other,0,2.0,3.0,5.0,single_family,essentials
6542,{'href': 'https://ap.rdcpix.com/1c0daee81a82140422b27d36ebe25f5bl-m3093872640s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","basement, two_or_more_stories, lake",2023-10-26T18:04:54.000000Z,,False,Rhode Island,Providence,1920.0,0.0,570000.0,3.0,0.0,3920.0,3150.0,3.0,other,0,0.0,3.0,6.0,multi_family,basic_opt_in
6543,{'href': 'https://ap.rdcpix.com/f45a4acfcbd42019aa454e6ae937da49l-b1951339667s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, big_yard, groundscare",2023-11-13T18:58:32.000000Z,,False,Rhode Island,Providence,1927.0,0.0,541000.0,2.0,1.0,11500.0,3867.0,3.0,other,0,2.0,2.0,5.0,single_family,essentials
6544,{'href': 'https://ap.rdcpix.com/150b6ef9fee05837c235374318879ae9l-m2589762311s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","central_heat, cul_de_sac, fireplace, forced_air, pets_allowed, swimming_pool, two_or_more_stories, garage_1_or_more, big_bathroom, open_floor_plan, floor_plan, golf_course",2023-10-26T14:47:27.000000Z,15000.0,False,Rhode Island,North Providence,1984.0,0.0,325000.0,1.0,1.0,,1445.0,2.0,condo,0,1.0,2.0,2.0,condos,essentials
6545,{'href': 'https://ap.rdcpix.com/ee89f3f188de2dcf3603ebe526b9d90al-m1057486714s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","basement, two_or_more_stories, groundscare, shopping",2023-12-06T17:34:41.000000Z,,False,Rhode Island,Providence,1930.0,0.0,315000.0,1.0,0.0,1743.0,933.0,1.0,other,0,0.0,2.0,3.0,single_family,basic_opt_in
6546,{'href': 'https://ap.rdcpix.com/661f5ee70122e26550b3c308beb38e04l-m1328990050s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","corner_lot, forced_air, basement, two_or_more_stories, efficient, medicalcare",2023-11-01T04:06:51.000000Z,,False,Rhode Island,Providence,2001.0,0.0,324000.0,1.0,1.0,3825.0,1232.0,2.0,other,0,0.0,2.0,3.0,single_family,essentials
6547,{'href': 'https://ap.rdcpix.com/4eda8b8fcc0886cc214cff372950efc6l-m934684065s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': 'Residential Properties Ltd'}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","forced_air, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, new_roof",2023-12-04T22:31:31.000000Z,,True,Rhode Island,Providence,1960.0,0.0,395000.0,1.0,1.0,6482.0,1517.0,2.0,other,0,2.0,2.0,3.0,single_family,basic_opt_in
