list_date,price_reduced_amount,state,city,postal_code,year_built,baths_3qtr,sold_price,baths_full,baths_half,lot_sqft,sqft,baths,sub_type,garage,stories,beds,type,brand_name,basement,big_bathroom,big_lot,big_yard,carport,cathedral_ceiling,central_air,city_view,clubhouse,community_clubhouse,community_golf,community_gym,community_outdoor_space,community_park,community_security_features,community_spa_or_hot_tub,community_swimming_pool,community_tennis_court,corner_lot,cul_de_sac,den_or_office,dining_room,disability_features,dishwasher,elevator,energy_efficient,ensuite,family_room,farm,fenced_yard,fireplace,fixer_upper,floor_plan,forced_air,front_porch,garage_1_or_more,garage_2_or_more,garage_3_or_more,gated_community,golf_course,gourmet_kitchen,granite_kitchen,groundscare,hardwood_floors,high_ceiling,hill_or_mountain_view,hoa,investment_opportunity,lake,large_kitchen,laundry_room,library,maintenance,master_bedroom,master_suite,medicalcare,modern_kitchen,mountain_view,new_roof,no_hoa,open_floor_plan,open_kitchen,park,pets_allowed,playground,private_backyard,ranch,recreation_facilities,rental_property,river_view,rv_or_boat_parking,security,senior_community,shopping,single_story,solar_system,spa_or_hot_tub,swimming_pool,tennis,trails,two_or_more_stories,updated_kitchen,vaulted_ceiling,view,washer_dryer,water_view,waterfront,agent,mls,has_primary_photo,american_indian_and_alaska_native,asian,black_or_african-american,hispanic_or_latino,white,median_age,male_population,female_population,total_population,number_of_veterans,foreign-born,average_household_size,costoflivingindex2023,costoflivingindexgrocerycostsindex,costoflivingindexhousingcostsindex,costoflivingindexutilitycostsindex,cost_of_living_overall,cost_of_living_grocery,cost_of_living_utility,cost_of_living_housing,Region,Division,Mean,Median,Stdev
11-30-2023,,Washington,Olympia,98513,1986.0,0.0,460000.0,2.0,0.0,8379.0,1352.0,2.0,other,2.0,1.0,3.0,single_family,basic_opt_in,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,115.1,109.7,129.4,92.2,Average,Average,Low,High,West,Pacific,65210.0,60216.0,45713.0
12-06-2023,,Washington,Olympia,98502,1990.0,2.0,115000.0,0.0,0.0,,1759.0,2.0,other,0.0,1.0,3.0,mobile,essentials,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,,,,,,,,,,,,,115.1,109.7,129.4,92.2,Average,Average,Low,High,West,Pacific,93946.66666666667,161286.0,50483.0
10-31-2023,10345.0,Washington,Olympia,98502,1986.0,0.0,365000.0,2.0,0.0,10659.0,1440.0,2.0,other,2.0,1.0,2.0,mobile,essentials,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,,,,,,,,,,,,,115.1,109.7,129.4,92.2,Average,Average,Low,High,West,Pacific,93946.66666666667,161286.0,50483.0
06-23-2023,20000.0,Washington,Olympia,98501,1962.0,0.0,550000.0,0.0,0.0,8316.0,2304.0,,other,0.0,0.0,0.0,multi_family,essentials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,115.1,109.7,129.4,92.2,Average,Average,Low,High,West,Pacific,53494.0,46045.2,39938.2
09-09-2023,21000.0,Washington,Olympia,98502,2006.0,0.0,439000.0,2.0,1.0,3570.0,1674.0,3.0,other,1.0,2.0,2.0,single_family,essentials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,,,,,,,,,,,,,115.1,109.7,129.4,92.2,Average,Average,Low,High,West,Pacific,93946.66666666667,161286.0,50483.0
10-23-2023,,Washington,Olympia,98501,1995.0,0.0,789900.0,3.0,0.0,11800.0,2700.0,3.0,other,3.0,2.0,3.0,single_family,advantage_brand,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,,,,,,,,,,,,,115.1,109.7,129.4,92.2,Average,Average,Low,High,West,Pacific,53494.0,46045.2,39938.2
09-13-2023,,Washington,Olympia,98512,1978.0,0.0,619000.0,2.0,1.0,19040.0,2506.0,3.0,other,3.0,2.0,3.0,single_family,essentials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,,,,,,,,,,,,,115.1,109.7,129.4,92.2,Average,Average,Low,High,West,Pacific,64951.0,56503.0,47258.0
10-21-2023,,Washington,Olympia,98506,2003.0,0.0,430000.0,2.0,1.0,3500.0,1356.0,3.0,other,1.0,2.0,3.0,single_family,essentials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,,,,,,,,,,,,,115.1,109.7,129.4,92.2,Average,Average,Low,High,West,Pacific,57646.5,50138.0,41877.5
11-30-2023,,Washington,Olympia,98502,1938.0,0.0,440000.0,1.0,0.0,43560.0,1208.0,1.0,other,0.0,2.0,2.0,single_family,essentials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,,,,,,,,,,,,,115.1,109.7,129.4,92.2,Average,Average,Low,High,West,Pacific,93946.66666666667,161286.0,50483.0
11-08-2023,,Washington,Olympia,98502,1940.0,1.0,600000.0,0.0,0.0,13939.0,720.0,1.0,other,0.0,1.0,1.0,single_family,essentials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,115.1,109.7,129.4,92.2,Average,Average,Low,High,West,Pacific,93946.66666666667,161286.0,50483.0
